h,Sign_Accuracy,Count
1,0.5583333333333333,720.0
2,0.5291666666666667,720.0
3,0.5805555555555556,720.0
4,0.5841446453407511,719.0
5,0.5577190542420027,719.0
6,0.5285118219749653,719.0
7,0.5813630041724618,719.0
8,0.5835654596100278,718.0
9,0.5584958217270195,718.0
10,0.5278551532033426,718.0
11,0.5807799442896936,718.0
12,0.5843793584379359,717.0
13,0.5592747559274756,717.0
14,0.5271966527196653,717.0
15,0.5815899581589958,717.0
16,0.5837988826815642,716.0
17,0.5586592178770949,716.0
18,0.526536312849162,716.0
19,0.5810055865921788,716.0
20,0.5846153846153846,715.0
21,0.5594405594405595,715.0
22,0.5272727272727272,715.0
23,0.5804195804195804,715.0
24,0.5840336134453782,714.0
25,0.5602240896358543,714.0
26,0.5266106442577031,714.0
27,0.5812324929971989,714.0
28,0.5848527349228612,713.0
29,0.5610098176718092,713.0
30,0.5259467040673211,713.0
31,0.5806451612903226,713.0
32,0.5842696629213483,712.0
33,0.5603932584269663,712.0
34,0.5252808988764045,712.0
35,0.5814606741573034,712.0
36,0.5850914205344585,711.0
37,0.559774964838256,711.0
38,0.5260196905766527,711.0
39,0.5822784810126582,711.0
40,0.5859154929577465,710.0
41,0.5605633802816902,710.0
42,0.5267605633802817,710.0
43,0.5830985915492958,710.0
44,0.5867418899858956,709.0
45,0.5613540197461213,709.0
46,0.5275035260930888,709.0
47,0.5825105782792666,709.0
48,0.5861581920903954,708.0
49,0.5621468926553672,708.0
50,0.5282485875706214,708.0
51,0.5833333333333334,708.0
52,0.5869872701555869,707.0
53,0.562942008486563,707.0
54,0.5289957567185289,707.0
55,0.5841584158415841,707.0
56,0.5878186968838527,706.0
57,0.5637393767705382,706.0
58,0.5297450424929179,706.0
59,0.5849858356940509,706.0
60,0.5872340425531914,705.0
61,0.5631205673758866,705.0
62,0.5290780141843971,705.0
63,0.5858156028368794,705.0
64,0.5866477272727273,704.0
65,0.5625,704.0
66,0.5298295454545454,704.0
67,0.5866477272727273,704.0
68,0.5860597439544808,703.0
69,0.561877667140825,703.0
70,0.5291607396870555,703.0
71,0.5874822190611664,703.0
72,0.5854700854700855,702.0
73,0.5612535612535613,702.0
74,0.5284900284900285,702.0
75,0.5883190883190883,702.0
76,0.5863052781740371,701.0
77,0.5620542082738944,701.0
78,0.5278174037089871,701.0
79,0.5877318116975749,701.0
80,0.5857142857142857,700.0
81,0.5614285714285714,700.0
82,0.5271428571428571,700.0
83,0.5885714285714285,700.0
84,0.5851216022889842,699.0
85,0.5608011444921316,699.0
86,0.5278969957081545,699.0
87,0.5879828326180258,699.0
88,0.5859598853868195,698.0
89,0.5601719197707736,698.0
90,0.5286532951289399,698.0
91,0.5873925501432665,698.0
92,0.5868005738880918,697.0
93,0.5609756097560976,697.0
94,0.5294117647058824,697.0
95,0.5868005738880918,697.0
96,0.5876436781609196,696.0
97,0.5617816091954023,696.0
98,0.5301724137931034,696.0
99,0.5876436781609196,696.0
100,0.5884892086330935,695.0
101,0.5625899280575539,695.0
102,0.5309352517985612,695.0
103,0.5884892086330935,695.0
104,0.5893371757925072,694.0
105,0.5634005763688761,694.0
106,0.531700288184438,694.0
107,0.5878962536023055,694.0
108,0.5901875901875901,693.0
109,0.5642135642135642,693.0
110,0.5324675324675324,693.0
111,0.5873015873015873,693.0
112,0.5895953757225434,692.0
113,0.565028901734104,692.0
114,0.5332369942196532,692.0
115,0.588150289017341,692.0
116,0.5904486251808972,691.0
117,0.5658465991316932,691.0
118,0.532561505065123,691.0
119,0.5875542691751086,691.0
120,0.591304347826087,690.0
121,0.5652173913043478,690.0
122,0.5333333333333333,690.0
123,0.5869565217391305,690.0
124,0.590711175616836,689.0
125,0.5645863570391872,689.0
126,0.5341074020319303,689.0
127,0.5878084179970973,689.0
128,0.5901162790697675,688.0
129,0.563953488372093,688.0
130,0.5334302325581395,688.0
131,0.5872093023255814,688.0
132,0.5895196506550219,687.0
133,0.5647743813682679,687.0
134,0.5327510917030568,687.0
135,0.586608442503639,687.0
136,0.5903790087463557,686.0
137,0.565597667638484,686.0
138,0.532069970845481,686.0
139,0.5860058309037901,686.0
140,0.5897810218978102,685.0
141,0.564963503649635,685.0
142,0.5313868613138686,685.0
143,0.5854014598540146,685.0
144,0.5891812865497076,684.0
145,0.564327485380117,684.0
146,0.5307017543859649,684.0
147,0.5847953216374269,684.0
148,0.5885797950219619,683.0
149,0.5636896046852123,683.0
150,0.5300146412884333,683.0
151,0.5841874084919473,683.0
152,0.5879765395894428,682.0
153,0.5630498533724341,682.0
154,0.5293255131964809,682.0
155,0.5835777126099707,682.0
156,0.5873715124816447,681.0
157,0.5624082232011748,681.0
158,0.5286343612334802,681.0
159,0.5844346549192364,681.0
160,0.586764705882353,680.0
161,0.5617647058823529,680.0
162,0.5279411764705882,680.0
163,0.5838235294117647,680.0
164,0.5861561119293078,679.0
165,0.561119293078056,679.0
166,0.5272459499263623,679.0
167,0.5832106038291606,679.0
168,0.5870206489675516,678.0
169,0.56047197640118,678.0
170,0.528023598820059,678.0
171,0.5825958702064897,678.0
172,0.5864106351550961,677.0
173,0.5598227474150664,677.0
174,0.5273264401772526,677.0
175,0.5819793205317577,677.0
176,0.5857988165680473,676.0
177,0.5606508875739645,676.0
178,0.5281065088757396,676.0
179,0.5813609467455622,676.0
180,0.5851851851851851,675.0
181,0.56,675.0
182,0.5274074074074074,675.0
183,0.5822222222222222,675.0
184,0.586053412462908,674.0
185,0.5593471810089021,674.0
186,0.5281899109792285,674.0
187,0.5816023738872403,674.0
188,0.5854383358098069,673.0
189,0.5586924219910847,673.0
190,0.5289747399702823,673.0
191,0.5809806835066865,673.0
192,0.5863095238095238,672.0
